sample-id	absolute-filepath
21x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x3x6F.fastq.gz
21x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x3x10F.fastq.gz
21x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x3x14F.fastq.gz
21x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x3x18F.fastq.gz
21x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x3x22F.fastq.gz
21x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/21x6x1x6F.fastq.gz
22x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x2F.fastq.gz
22x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x6F.fastq.gz
22x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x10F.fastq.gz
22x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x14F.fastq.gz
22x1x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x18F.fastq.gz
22x1x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x1x22F.fastq.gz
22x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x2F.fastq.gz
22x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x6F.fastq.gz
22x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x10F.fastq.gz
22x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x14F.fastq.gz
22x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x18F.fastq.gz
22x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/22x3x22F.fastq.gz
23x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/23x3x6F.fastq.gz
23x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/23x3x10F.fastq.gz
23x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/23x3x14F.fastq.gz
23x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/23x3x18F.fastq.gz
23x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/23x3x22F.fastq.gz
24x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x2F.fastq.gz
24x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x6F.fastq.gz
24x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x10F.fastq.gz
24x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x14F.fastq.gz
24x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x18F.fastq.gz
24x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/24x3x22F.fastq.gz
25x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x2F.fastq.gz
25x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x6F.fastq.gz
25x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x10F.fastq.gz
25x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x14F.fastq.gz
25x1x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x18F.fastq.gz
25x1x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x1x22F.fastq.gz
25x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/25x3x2F.fastq.gz
